?
10.00	8.6
10.02	6.4
10.04	6.8
10.06	0.7
10.08	13.4
10.10	11.4
10.12	7.0
10.14	10.3
10.16	8.8
10.18	6.3
10.20	10.9
10.22	7.1
10.24	7.0
10.26	5.6
10.28	9.4
10.30	7.7
10.32	9.6
10.34	6.2
10.36	8.4
10.38	5.3
10.40	10.5
10.42	8.6
10.44	9.0
10.46	9.2
10.48	5.0
10.50	10.3
10.52	14.2
10.54	3.1
10.56	2.8
10.58	3.5
10.60	10.5
10.62	8.4
10.64	11.2
10.66	10.2
10.68	8.6
10.70	8.9
10.72	7.5
10.74	10.6
10.76	4.6
10.78	6.7
10.80	8.7
10.82	13.4
10.84	5.7
10.86	4.8
10.88	6.3
10.90	10.9
10.92	7.3
10.94	12.0
10.96	2.4
10.98	11.4
11.00	11.1
11.02	3.7
11.04	8.5
11.06	11.6
11.08	8.3
11.10	11.0
11.12	15.1
11.14	8.8
11.16	7.2
11.18	5.7
11.20	9.9
11.22	7.4
11.24	7.5
11.26	7.7
11.28	9.9
11.30	4.8
11.32	3.4
11.34	0.7
11.36	11.6
11.38	8.2
11.40	12.5
11.42	8.0
11.44	5.8
11.46	9.4
11.48	7.8
11.50	4.2
11.52	5.3
11.54	13.3
11.56	9.1
11.58	9.2
11.60	7.2
11.62	5.9
11.64	10.7
11.66	7.7
11.68	5.7
11.70	7.6
11.72	5.3
11.74	8.6
11.76	11.4
11.78	5.5
11.80	12.3
11.82	6.0
11.84	8.5
11.86	5.5
11.88	7.3
11.90	8.1
11.92	6.7
11.94	5.9
11.96	6.0
11.98	5.5
12.00	3.3
12.02	7.2
12.04	9.2
12.06	10.7
12.08	9.9
12.10	15.4
12.12	9.0
12.14	6.6
12.16	13.6
12.18	4.9
12.20	10.9
12.22	5.1
12.24	9.1
12.26	2.1
12.28	10.7
12.30	7.5
12.32	5.1
12.34	13.0
12.36	10.3
12.38	8.1
12.40	5.8
12.42	7.9
12.44	7.5
12.46	10.2
12.48	10.4
12.50	6.0
12.52	6.4
12.54	6.4
12.56	4.0
12.58	6.2
12.60	7.7
12.62	10.1
12.64	12.0
12.66	5.6
12.68	9.7
12.70	6.7
12.72	14.2
12.74	7.9
12.76	9.5
12.78	5.2
12.80	5.6
12.82	8.6
12.84	6.8
12.86	9.1
12.88	3.3
12.90	10.0
12.92	5.3
12.94	13.2
12.96	7.1
12.98	11.3
13.00	3.8
13.02	9.3
13.04	5.3
13.06	6.5
13.08	8.1
13.10	7.0
13.12	8.8
13.14	10.2
13.16	10.0
13.18	7.7
13.20	3.9
13.22	5.6
13.24	7.4
13.26	1.6
13.28	10.3
13.30	7.3
13.32	7.2
13.34	10.8
13.36	10.0
